"1","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","53","imagination . C' est qu' en effet l' imagination nous","montre","la vie , de cieux , de femmes et de douleurs parée , qui"
"2","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","62","pas dangereuses . Vous renfermez un joli sens , et qui","montre","que je regarde les choses et que je les apprécie . Il faut"
"3","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","80","les malades . Mais si la chair se rompt , la maladie se","montre","par deux trous et devient une maladie honteuse . Alors le"
"4","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","80","de pus sur ma joue , qui était une tare cachée qui se","montre","et par laquelle on comprend qu' il ne faut pas toucher à"
"5","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","84","il faut travailler chaque jour et les maladies leur","montrent","qu' elle est plus pénible encore puisqu' on ne"
"6","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","86",", des écuries , des hangars et des greniers , et ceci","montre","que la vie a deux côtés dont l' un est pour les hommes et"
"7","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","86","printemps . Le matin , avec sa messe et son marché , nous","montre","des paysans en blouse bleue , des paysannes en robe noire"
"8","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","92","des dates , des traités et des successions , mais elle","montre","les gestes de la France qui font du bruit et ses habits de"
"9","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","102","de cette clarté dans nos salles parce qu' elle nous","montre","trop bien le silence , les livres et la discipline . Mais"
"10","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","103","comme on n' en porte pas dans nos pays parce qu' elle","montre","qu' on est sérieux et instruit . Il nous dicta une"
"11","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","117","à des hommes . J' avais souffert et le pion m' avait","montré","toute son autorité , de sorte que je voulais avoir un"
"12","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","124","entrer à l' école normale supérieure , et qui m' a","montré","que les officiers sont des êtres inutiles . Je fus"
"13","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","126","afin de gagner le pain de sa femme et de ses enfants , cela","montre","que la vie est pénible . Il faut regarder un travailleur"
"14","PHILIPPE Charles-Louis","La Mère et l'enfant","1900","127","ma petite ville un village avec un château . Le village","montre","une rue et demie le long de laquelle c' est le commerce des"
"15","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","14","ma faute si les âmes , dont on arrache les voiles et qu' on","montre","à nu , exhalent une si forte odeur de pourriture . Voici"
"16","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","28","me méfie de la propreté de madame ... lorsqu' elle m' a","montré","son cabinet de toilette , je n' y ai remarqué ni petit"
"17","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","39",", qui l' avait accaparé pour tout le département , s' y","montrait","d' une grande habileté , c'est-à-dire qu' il gardait"
"18","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","48","le dire ... et ça ne tombe jamais que sur celles qui se","montrèrent","gentilles pour nous ... son mari , à celle -là ..."
"19","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","54",", comme je l' ai déjà dit , madame s' était toujours","montrée","généreuse envers moi , au point que ces affaires - que"
"20","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","90","quand le capitaine s' écria : - ah ! ... il faut que je vous","montre","quelque chose de curieux et que vous n' avez , bien sûr ,"
"21","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","114","fut gênée ... pourtant , je dois reconnaître qu' elle","montra","une certaine crânerie , en cette circonstance plutôt"
"22","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","117",", miss complètement ivre ... me dit -elle ... et elle me","montra","la gouvernante , vautrée , les bras allongés , une"
"23","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","151","de bouteille qu' on vide ... ses yeux révulsés ne","montraient","plus , entre les paupières agrandies , que leurs"
"24","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","172","madame si soupçonneuse et qui voit le mal partout lui","montre","une confiance aveugle . Elle qui ne croit à personne ,"
"25","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","199","même à cause de son succès , la comtesse Fergus se","montra","un peu hautaine , du moins trop réservée . Il semblait"
"26","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","199","leurs propres irrégularités sociales , se","montrèrent","d' une sévérité étrangement implacable envers"
"27","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","222","homme en pierre est plus nu que vous le croyez ... qu' il","montre","une ... un ... un instrument d' impureté ... une chose"
"28","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","230","ne sais pas ce que madame veut dire par convenable ... -","montrez","-moi votre linge ... allez me chercher votre linge ..."
"29","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","230","toujours jolies , ces dessous à peine passés , me les","montrait",", me les choisissait , en me faisant des"
"30","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","231",", demain ... je vous indiquerai ... ensuite , madame me","montra","sa chambre , ses armoires , ses penderies , la place de"
"31","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","232","homme doit être réveillé à neuf heures . Elle me","montra","où l'on mettait le linge de M. Xavier , ses cravates , ses"
"32","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","236","brusque , jamais un reproche . Au contraire ... elle se","montrait","familière , presque camarade , au point que , parfois ,"
"33","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","237","un très joli garçon , plus joli encore que ne le","montrait","sa photographie . Une légère moustache blonde - deux"
"34","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","288","la crasse des origines inférieures . Elle se","montrait","insolente , c' est le cas de le dire , comme une ancienne"
"35","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","308","claires et luisantes ... et le buffet dans le fond , qui","montrait","des verreries foraines , des vaisselles d' héritage"
"36","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","309","avait , en disant ces mots , déplacé sa chaise , et me","montrait",", maintenant , son profil . Je m' attendais à voir un nez"
"37","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","312","inconnus dans sa tête . Sa rapacité de paysanne lui","montrait","des coffres pleins d' or , des testaments fabuleux ..."
"38","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","327",", et il semblait un peu gâteux . Quant à William , il se","montra","charmant , galant , empressé , me fit sous la table des"
"39","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","332","très galbeux , des barons , des vicomtes , qui lui","montraient","une certaine amitié , sachant qu' il possédait , de"
"40","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","339","... les lèvres , très courtes et retroussées ,","montrent",", entre les dents gâtées , des trous noirs . Son teint"
"41","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","340","lui coulent dans l' oreille des mots mystérieux et lui","montrent","des dépêches confidentielles . Le reste de la"
"42","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","342","servi et cinq louis prêts . Le soir , après s' être","montré","aux ambassadeurs , au cirque , à l' Olympia , très"
"43","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","343","elle était , je le répète , plutôt timide ... madame","montrait","aussi , au milieu du désordre de sa maison , parmi tout"
"44","MIRBEAU Octave","Le Journal d'une femme de chambre","1900","376","rien de ce qui peut m' embellir , et il aime que le soir je","montre","ma peau dans un petit décolletage aguichant ... il faut"
"45","COLETTE ","Claudine à l'école","1900","24",", la porte de la classe des garçons , et quelqu'un se","montre","en demandant avec un drôle d' accent marseillais : "" qu'"
"46","COLETTE ","Claudine à l'école","1900","33","bien dix-huit ans . Et mes cheveux aussi valent d' être","montrés",", puisqu' ils me font une toison remuante de boucles"
"47","COLETTE ","Claudine à l'école","1900","35","liberté ? Ton mari ne fera pas ce qu' il voudra , diable !","Montre","-moi cette figure . Tu te portes bien ? Un peu d' anémie ,"
"48","COLETTE ","Claudine à l'école","1900","36","il passe à la grande Anaïs qui sèche sur son banc . -","montre","-moi ton cahier . Pendant qu' il le feuillette , assez"
"49","COLETTE ","Claudine à l'école","1900","52","et prend plaisir à voir courir ces grandes filles qui","montrent","inconsciemment , les unes comme Marie Belhomme , et"
